gene_name	S1_control	S1_t	S2_control	S2_t	S3_control	S3_t
F13A1	0.901349033	0	0.499007941	4.805830522	2.187565437	4.403755917
F2R	0.901349033	2.005545982	186.1299619	14.41749157	2.916753916	7.706572855
F2RL1	0.450674517	0	8.483134993	4.805830522	1.458376958	3.302816938
F2RL2	0.901349033	34.09428169	6.48710323	28.83498313	3.645942395	6.605633876
F2RL3	0	0	0	0	0	0
F3	1.35202355	44.1220116	339.3253997	16.82040683	10.20863871	14.31220673
F5	0.450674517	0	1.996031763	2.402915261	0.729188479	1.100938979
F8	4.506745165	2.005545982	8.982142934	9.611661044	22.60484285	18.71596265
F8A1	55.88364005	48.13310356	32.93452409	31.23789839	94.0653138	79.26760651
F8A2	0	0	0	0	0	0
F8A3	3.605396132	0	18.46329381	0	0	0
FA2H	15.32293356	12.03327589	1.996031763	0	0	0
FAAH	0.901349033	4.011091963	1.497023822	0	3.645942395	5.504694897
FAAH2	6.760117748	6.016637945	1.497023822	2.402915261	6.562696312	3.302816938
FAAP100	41.46205552	20.05545982	40.91865114	16.82040683	45.93887418	27.52347448
FAAP20	62.6437578	42.11646562	49.40178614	9.611661044	21.87565437	17.61502367
FAAP24	6.760117748	12.03327589	20.45932557	4.805830522	4.375130875	7.706572855
