"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"5_8S_rRNA",33.7119279520851,0.125388924884336,0.925800212334495,0.574052414571741,0.728631982994897
"7SK",13.8251501243223,0.125861322638125,0.925926150558854,0.571908468301053,0.727200402759442
"A1BG",15.4348778018041,0.435359148162399,0.795449523743294,0.315407560443881,0.524687085439001
"A1BG-AS1",15.9039570628897,-0.339407953015486,0.690225829736765,0.470156272997097,0.654470467150454
"A2M",4.59502423868992,0.202274701445332,0.84917707212889,0.594010818268911,NA
"A2M-AS1",0.388189233202618,0.0438296440125548,0.927563782604909,0.838421706312307,NA
"A4GALT",5.22130265426586,-0.532277950245084,0.870298619713902,0.142320804447591,NA
"AAAS",38.5506620941388,-0.667972215161276,0.5992313546819,0.148153385360781,0.34454329779128
"AACS",16.9045143355164,-0.879531227685717,0.732966016079457,0.0602739064650155,0.205822378693749
"AADAC",7.08463497144012,0.680590805321051,0.819394146035187,0.107329250512569,NA
"AADAT",3.49305558540183,-0.0445564492998599,0.908406809129485,0.869884020340105,NA
"AAGAB",106.051933962112,-0.135898136287309,0.475057930944317,0.73994202876842,0.843312932571889
"AAK1",115.87953002679,0.652912476689164,0.538735887950376,0.13882348312593,0.331907454704529
"AAMDC",12.4706021683388,-0.063428409678057,0.741944890944318,0.88988574659814,0.935302260780711
"AAMP",113.49195234934,-1.08668870845883,0.469959921110929,0.00748636608702512,0.0710846756839549
"AAR2",42.8397396280316,-0.468903429356667,0.562107024701394,0.297601656930922,0.508081140802047
"AARD",2.05773258411883,0.329781167889485,0.916727807561453,0.207757055030155,NA
"AARS1",169.002265743254,-0.902123867259563,0.426293983540058,0.017407306819209,0.106950204179265
"AARS2",26.3933292790072,-0.777995580012295,0.639231766503969,0.0979776645225366,0.271982616907611
"AARSD1",22.1125646581723,-0.642821420788874,0.665295061748068,0.173071385782516,0.376807529669418
"AASDH",19.1915009497838,-0.241304135484958,0.673250177615144,0.608069883752037,0.752630366383759
"AASDHPPT",65.1685918312732,-0.251024075623704,0.501758833735453,0.553610210449445,0.713305093771823
"AASS",44.2819116025332,0.538848186471743,0.574567112343182,0.23580604158341,0.449077820929332
"AATBC",0.287867393439614,-0.0204909293135191,0.927837507474065,0.923625009596067,NA
"AATF",91.263868395846,-0.928396352057949,0.486263078878375,0.0254860165082769,0.129591842870212
"AATK",6.60432221542216,0.232494906101599,0.805367045348516,0.583116494101777,NA
"ABALON",4.3759142465054,0.40533229253322,0.842898963823138,0.30050324147009,NA
"ABAT",17.0556701298319,-0.23800021620556,0.714981319109085,0.609580907458441,0.753427754318626
"ABCA1",289.005690263473,-0.134724733933244,0.421269038568459,0.720237063870122,0.830670669530536
"ABCA10",3.67010535773109,0.173464951138634,0.846266963317066,0.650300669629063,NA
"ABCA11P",6.08321615114848,-0.424439573733019,0.818336721248904,0.307587974988334,NA
"ABCA12",8.00324167855808,0.755338479657437,0.804709971903217,0.08292214699379,NA
"ABCA13",12.6787795608652,0.49756276877805,0.75613920169339,0.274600232299092,0.487884472214039
"ABCA17P",2.46148996385484,0.209722096700298,0.895597291263293,0.491702742513686,NA
"ABCA2",35.5150688057731,-0.695343971117791,0.604238131370099,0.13333442914398,0.324131159470516
"ABCA3",8.74744142727558,-0.410693386503637,0.802335680458133,0.337730306819391,0.544885222382605
"ABCA5",51.5112255602442,-0.140494916699739,0.5329393110139,0.748652940431801,0.849078399131575
