gene_name	S1_control	S1_t	S2_control	S2_t	S3_control	S3_t
5_8S_rRNA	0	86	26	7	0	0
7SK	0	0	14	0	0	69
A1BG	0	20	18	9	27	2
A1BG-AS1	49	6	34	4	28	13
A2M	1	0	5	4	7	9
A2M-AS1	0	0	1	0	1	1
A4GALT	2	0	50	0	6	1
AAAS	120	6	122	9	53	40
AACS	65	2	46	1	36	15
AADAC	1	5	4	9	7	3
AADAT	0	0	42	0	0	0
AAGAB	233	84	267	26	122	71
AAK1	49	103	362	61	87	69
AAMDC	15	8	70	3	6	5
AAMP	275	21	547	26	151	63
AAR2	109	13	126	11	65	41
AARD	0	1	0	4	1	0
AARS1	494	45	397	30	363	151
AARS2	107	6	89	5	33	16
AARSD1	51	7	93	3	35	15
AASDH	66	9	34	3	26	22
AASDHPPT	187	24	150	27	83	53
AASS	52	43	56	25	54	26
AATBC	0	0	2	0	1	0
AATF	239	21	259	15	195	82
AATK	2	1	23	7	4	5
ABALON	1	4	4	2	6	6
ABAT	47	1	20	9	35	20
ABCA1	702	66	404	118	510	389
ABCA10	5	3	4	2	5	3
ABCA11P	33	2	10	1	11	2
ABCA12	1	8	6	7	7	6
ABCA13	4	20	21	3	9	9
ABCA17P	0	0	3	4	2	2
ABCA2	33	2	192	16	49	22
ABCA3	18	0	17	2	23	13
ABCA5	170	23	51	12	92	59
ABCA6	315	22	3	3	4	3
ABCA7	544	72	196	31	182	73
ABCA9	376	25	1	1	1	3
ABCB1	1	0	7	9	16	20
ABCB10	142	9	94	14	36	30
ABCB4	46	3	38	16	66	36
ABCB6	15	0	53	0	15	6
ABCB7	143	31	61	26	103	54
ABCB8	52	3	41	4	25	10
ABCB9	1	0	6	1	8	6
ABCC1	224	23	302	32	154	107
ABCC10	45	1	46	4	39	17
ABCC11	3	6	1	3	1	5
ABCC2	31	3	18	0	20	16
ABCC3	0	0	27	10	2	4
ABCC4	2	5	71	5	53	24
ABCC5	84	31	152	26	98	78
ABCC6	0	0	1	0	0	0
ABCC6P2	1	4	3	5	3	4
ABCC8	0	0	3	0	0	0
ABCC9	2	16	44	11	47	11
ABCD1	96	9	52	9	88	48
ABCD2	7	1	6	2	3	2
ABCD3	68	5	108	9	59	30
ABCD4	130	23	56	9	57	45
ABCE1	509	36	388	42	283	121
ABCF1	544	101	467	40	283	107
ABCF2	100	16	70	3	83	34
ABCF2-H2BK1	31	0	65	8	74	23
ABCF3	137	7	129	12	93	26
ABCG1	1093	92	296	103	760	483
ABCG2	0	0	8	1	0	2
ABCG8	7	30	16	13	14	10
ABHD1	0	0	0	1	1	0
ABHD10	89	15	115	16	53	35
ABHD11	72	15	106	8	31	16
ABHD12	49	5	118	13	29	26
ABHD13	132	14	79	13	64	67
ABHD14A	13	2	9	2	7	6
ABHD14A-ACY1	0	0	0	0	0	0
ABHD14B	278	28	157	30	124	67
ABHD15	218	38	97	18	48	38
ABHD15-AS1	0	2	2	4	2	3
ABHD16A	75	5	58	5	51	29
ABHD17A	231	19	135	12	57	38
ABHD17AP4	0	0	0	0	1	1
ABHD17AP5	0	0	0	0	3	0
ABHD17AP6	0	0	3	0	0	0
ABHD17B	185	15	59	12	32	21
ABHD17C	14	3	65	3	2	1
ABHD18	177	48	66	16	94	54
ABHD2	168	9	531	29	205	128
ABHD3	139	13	67	14	25	29
ABHD4	57	7	49	7	36	26
ABHD5	29	4	47	7	8	12
ABHD6	58	3	71	11	69	31
ABHD8	29	3	23	8	16	12
ABI1	653	43	205	57	371	242
ABI2	271	67	373	39	113	90
ABI3	31	1	31	5	28	8
ABI3BP	0	2	4896	0	2	6
ABITRAM	33	0	58	6	17	15
ABL1	87	7	587	10	74	46
ABL2	193	49	520	31	75	52
ABLIM1	423	45	200	96	483	401
ABLIM2	17	11	11	8	10	11
ABLIM3	0	0	262	0	4	1
ABR	645	43	380	49	114	64
ABRACL	105	12	107	19	79	39
ABRAXAS1	172	68	90	33	122	75
ABRAXAS2	155	12	163	13	92	52
ABT1	170	26	102	26	90	58
ABTB1	188	17	95	17	60	50
ABTB2	32	1	35	1	44	6
ABTB3	1	14	31	25	11	33
ACAA1	151	16	106	16	90	51
ACAA2	337	77	353	30	75	42
ACAA2P1	1	0	1	0	1	2
ACACA	47	4	65	4	119	53
ACACB	41	50	42	22	38	38
ACAD10	39	3	43	11	32	30
ACAD11	79	8	96	8	62	29
ACAD8	102	19	62	7	35	23
ACAD9	61	62	145	31	67	37
ACAD9-DT	20	2	10	0	5	4
ACADM	645	39	207	31	242	143
ACADS	35	3	15	0	16	8
ACADSB	121	9	87	13	80	69
ACADVL	961	77	647	42	238	104
ACAP1	423	49	84	15	82	37
ACAP2	453	73	313	64	353	192
ACAP2-IT1	1	0	3	0	1	1
ACAP3	124	13	111	9	64	19
ACAT1	109	4	232	13	64	21
ACAT2	84	9	104	4	54	27
ACBD3	390	56	335	34	171	125
ACBD4	55	7	37	8	44	17
ACBD5	151	132	126	40	127	83
ACBD6	188	24	202	9	90	46
ACBD7	11	42	40	19	33	29
ACCS	45	6	10	5	7	14
ACD	59	12	72	3	36	14
ACE	9	2	9	3	6	0
ACE2	3	12	11	4	5	8
ACER2	15	3	6	0	13	11
ACER3	96	14	116	13	44	17
ACIN1	745	165	843	103	506	221
ACKR2	4	36	21	14	19	11
ACKR3	8	1	1609	0	1	5
ACKR4	1	1	0	0	0	2
ACLY	298	29	485	51	161	81
ACO1	76	6	220	11	40	23
ACO2	294	18	233	19	144	66
ACOT1	0	0	14	0	9	3
ACOT11	4	14	16	9	9	12
ACOT13	86	11	111	20	46	37
ACOT2	80	5	52	1	26	19
ACOT4	2	0	0	0	2	0
ACOT7	9	0	117	1	21	1
ACOT8	39	9	57	2	17	6
ACOT9	152	20	393	20	116	41
ACOX1	162	81	129	59	102	87
ACOX2	0	0	4	0	0	0
ACOX3	71	11	49	4	21	5
ACOXL	0	0	0	2	0	0
ACOXL-AS1	0	0	0	0	0	0
ACP1	257	18	369	31	138	76
ACP2	37	3	29	7	28	14
ACP3	22	0	9	2	1	0
ACP5	214	11	469	108	362	215
ACP6	45	13	15	9	16	12
ACP7	0	0	11	0	0	0
ACRBP	12	0	10	3	10	6
ACSBG1	7	14	11	12	9	16
ACSF2	75	11	40	9	35	25
ACSF3	116	20	42	7	46	19
ACSL1	44	2	581	70	74	48
ACSL3	94	17	310	23	99	63
ACSL4	278	10	536	67	186	141
ACSL5	144	20	62	17	136	78
ACSL6	2	1	9	3	6	3
ACSM1	5	0	1	0	1	0
ACSM2B	0	1	0	1	2	2
ACSM3	9	1	4	3	8	13
ACSS1	139	23	52	18	91	65
ACSS2	58	3	108	9	30	15
ACSS3	1	22	27	20	20	20
ACTA1	10	33	13	20	52	14
ACTA2	3	0	19	1	13	2
ACTA2-AS1	1	0	2	0	2	0
ACTB	10071	520	13759	789	4499	1643
ACTBP15	0	0	0	0	0	0
ACTBP4	0	0	0	0	0	0
ACTBP8	0	0	0	0	0	0
ACTC1	2	5	4	2	19	0
ACTG1	1552	72	5785	191	1454	599
ACTG1P14	0	0	0	0	1	0
ACTG1P17	6	9	1	5	2	5
ACTG1P20	2	0	1	0	4	0
ACTG1P24	1	0	0	0	0	0
ACTG1P25	18	87	26	34	32	38
ACTG1P3	0	0	0	0	0	0
ACTG1P4	1	0	2	1	1	0
ACTL10	6	2	5	3	2	1
ACTL11P	0	7	3	0	6	2
ACTL6A	166	6	297	9	130	52
ACTMAP	38	13	39	4	16	7
ACTN1	4	1	1023	11	13	5
ACTN2	1	4	18	0	39	0
ACTN3	0	0	0	0	0	0
ACTN4	424	55	780	54	346	152
ACTR10	149	43	222	20	78	56
ACTR1A	193	22	489	12	104	56
ACTR1B	136	9	115	11	97	26
ACTR2	1953	105	1576	238	1143	651
ACTR2P2	1	0	0	0	1	0
ACTR3	1671	148	1754	151	943	488
ACTR3-AS1	47	7	14	5	19	13
ACTR3B	18	0	10	0	18	1
ACTR3C	4	0	0	0	0	0
ACTR5	81	13	55	7	31	18
ACTR6	108	12	113	12	45	31
ACTR8	122	9	96	18	58	30
ACTRT3	2	1	1	0	0	3
ACVR1	38	4	172	10	18	11
ACVR1B	71	6	87	9	74	33
ACVR1C	0	5	7	6	8	8
ACVR2A	18	9	50	15	26	24
ACVR2B	92	21	53	25	65	54
ACVR2B-AS1	2	21	5	5	10	12
ACVRL1	6	51	28	31	12	17
ACY1	29	3	44	5	19	10
ACY3	0	0	0	0	0	0
ACYP1	36	1	45	1	15	9
ACYP2	24	1	12	2	14	10
ADA	134	19	88	16	63	29
ADA2	181	44	130	43	105	76
ADAD1P1	1	1	1	0	1	0
ADAL	18	10	63	9	32	15
ADAM10	373	54	445	82	289	161
ADAM11	2	1	3	0	1	2
ADAM12	11	0	64	0	1	0
ADAM15	36	5	139	12	28	19
ADAM17	402	68	306	47	195	154
ADAM19	953	45	189	51	125	62
ADAM20	1	1	1	0	0	0
ADAM20P1	1	1	3	2	2	0
ADAM22	6	0	17	0	20	10
ADAM23	0	3	59	6	4	5
ADAM28	563	53	36	17	106	64
ADAM29	0	0	0	0	0	0
ADAM33	0	0	8	0	0	0
ADAM3B	1	9	7	5	9	5
ADAM7-AS1	7	34	17	9	17	12
ADAM8	228	23	76	18	29	18
ADAM9	8	6	897	67	51	38
ADAMDEC1	5	15	68	32	13	10
ADAMTS1	0	0	2359	1	1	2
ADAMTS10	2	0	2	1	2	2
ADAMTS12	0	12	56	4	7	7
ADAMTS13	3	0	3	1	6	6
ADAMTS14	0	0	8	1	0	0
ADAMTS16	0	9	3	3	4	2
ADAMTS17	2	0	2	1	0	0
ADAMTS19	0	4	2	0	3	3
ADAMTS2	0	1	131	0	0	0
ADAMTS20	0	5	3	0	3	1
ADAMTS3	1	3	9	7	2	3
ADAMTS4	21	70	511	40	26	25
ADAMTS5	2	12	22	19	14	10
ADAMTS6	70	6	310	7	30	15
ADAMTS7	17	2	71	13	43	16
ADAMTS7P1	0	0	1	0	0	0
ADAMTS7P4	0	0	0	1	0	1
ADAMTS7P5	1	0	0	0	0	0
ADAMTS9	2	5	7	3	3	1
ADAMTS9-AS1	3	13	15	22	25	12
ADAMTS9-AS2	5	29	10	20	13	16
ADAMTSL1	0	12	8	8	4	4
ADAMTSL2	0	5	1	0	2	0
ADAMTSL3	0	3	4	1	1	1
ADAMTSL4	1	0	57	6	1	1
ADAMTSL4-AS1	2	1	5	0	2	1
ADAMTSL4-AS2	0	0	0	0	1	0
ADAMTSL5	3	26	29	15	23	15
ADAP1	126	9	49	2	4	5
ADAP2	40	4	62	17	38	29
ADAR	1172	113	903	129	774	444
ADARB1	5	2	74	9	31	11
ADAT1	121	21	81	14	57	29
ADAT2	88	66	33	20	92	52
ADAT3	29	7	14	1	8	4
ADCK1	13	0	6	1	14	4
ADCK2	130	14	89	11	49	53
ADCK5	40	10	22	6	14	9
ADCY1	1	0	5	1	3	2
ADCY10	0	0	0	0	0	0
ADCY10P1	57	0	13	4	23	16
ADCY3	142	18	195	11	84	31
ADCY4	5	0	2	1	2	2
ADCY5	0	3	5	10	2	1
ADCY6	10	23	71	5	7	6
ADCY7	278	11	154	40	153	101
ADCY8	0	2	20	2	0	0
ADCY9	8	2	77	10	25	8
ADCYAP1	2	3	3	8	1	3
ADCYAP1R1	2	9	11	4	12	11
ADD1	1646	110	655	68	504	254
ADD2	1	40	27	37	73	33
ADD3	500	34	424	53	273	134
ADD3-AS1	1	2	2	0	0	3
ADGRA2	0	0	88	1	0	0
ADGRA3	1	2	173	4	3	3
ADGRB1	17	0	31	1	13	5
ADGRB2	2	0	52	0	0	0
ADGRB3-DT	0	0	0	0	0	0
ADGRD1	0	0	2	1	0	0
ADGRE1	0	1	4	1	0	1
ADGRE2	2	5	23	3	20	8
ADGRE3	0	0	40	10	4	5
ADGRE5	152	22	317	19	162	90
ADGRF1	1	3	2	1	1	1
ADGRF3	1	0	0	0	2	0
ADGRG1	0	0	48	0	2	2
ADGRG3	1	1	10	0	2	1
ADGRG5	15	0	10	2	3	6
ADGRG6	0	1	8	3	1	0
ADGRG7	47	1	0	0	0	0
ADGRL1	7	1	34	5	20	6
ADGRL1-AS1	11	0	18	2	12	8
ADGRL2	2	7	103	6	5	1
ADGRL3	0	7	4	3	7	5
ADGRL4	0	0	24	0	0	1
ADGRV1	0	1	3	1	2	0
ADH5	381	41	527	24	142	77
ADHFE1	16	2	4	4	11	10
ADI1	173	57	216	34	59	50
ADIPINT	4	24	9	17	13	13
ADIPOQ	5	8	5	5	9	6
ADIPOR1	233	30	439	51	144	86
ADIPOR2	127	9	296	23	138	71
ADIRF-AS1	27	1	60	1	17	6
ADISSP	40	11	78	4	45	17
ADK	69	8	170	1	65	23
ADM	2	0	1070	12	26	18
ADM-DT	0	1	5	0	0	0
ADM2	334	34	20	6	14	8
ADM5	2	2	3	0	1	0
ADNP	503	56	571	84	320	216
ADNP-AS1	7	56	37	33	30	27
ADNP2	201	21	158	11	75	38
ADO	106	11	144	21	80	41
ADORA2A	311	28	83	7	12	0
ADORA2A-AS1	2	5	0	0	1	0
ADORA2B	0	0	83	2	2	0
ADORA3	1	1	1	1	0	0
ADPGK	272	16	258	40	155	80
ADPGK-AS1	10	58	19	27	21	28
ADPRH	213	16	36	5	64	40
ADPRHL1	3	1	8	0	2	0
ADPRM	49	4	18	2	14	9
ADPRS	96	10	84	3	37	21
ADRA1A	0	20	3	5	10	16
ADRA2B	2	5	3	3	2	4
ADRB1	6	31	16	29	25	24
ADRB2	32	6	27	5	18	5
ADRM1	229	30	426	20	117	57
ADSL	331	36	301	15	163	60
ADSS1	0	0	11	0	3	1
ADSS2	181	14	332	36	165	74
ADTRP	24	30	92	32	15	16
AEBP1	206	20	164	4	16	6
AEBP2	137	26	105	25	100	78
AEN	118	11	146	12	149	61
AFAP1	2	3	277	3	6	2
AFAP1L1	0	0	19	0	0	0
AFAP1L2	14	18	7	16	21	16
AFDN	410	46	504	16	129	71
AFDN-DT	2	1	2	0	0	2
AFF1	553	80	493	60	250	165
AFF2	2	8	9	6	5	5
AFF3	255	63	185	48	217	140
AFF4	439	41	509	52	304	218
AFF4-DT	1	22	4	14	9	8
AFG1L	14	6	12	9	6	8
AFG2A	73	149	103	63	56	60
AFG2B	35	6	44	7	20	16
AFG3L1P	242	20	48	12	52	19
AFG3L2	388	46	323	20	86	51
AFMID	32	25	66	14	28	15
AFTPH	694	42	182	82	325	175
AFTPH-DT	20	1	10	4	12	9
AGA	98	14	49	5	47	22
AGA-DT	2	2	1	3	1	0
AGAP1	1	3	260	2	3	3
AGAP10P	1	0	0	0	0	0
AGAP12P	4	1	17	0	5	6
AGAP13P	7	0	4	0	0	5
AGAP14P	0	0	1	0	0	0
AGAP2	70	29	63	30	74	41
AGAP2-AS1	0	0	45	0	6	4
AGAP3	143	16	147	13	27	18
AGAP4	42	2	19	11	23	17
AGAP5	16	0	8	0	29	5
AGAP6	72	9	61	8	51	31
AGAP7P	0	0	32	0	0	0
AGAP9	38	1	43	3	36	17
AGBL1-AS1	2	3	5	8	4	8
AGBL2	3	1	4	0	12	6
AGBL3	1	1	1	0	2	0
AGBL4	0	1	0	1	2	3
AGBL4-IT1	0	7	3	4	2	2
AGBL5	36	4	70	5	30	27
AGER	33	3	15	3	12	10
AGFG1	326	38	338	31	201	137
AGFG2	34	35	48	32	40	37
AGGF1	260	24	185	22	116	77
AGGF1P1	0	0	0	1	1	3
AGGF1P2	0	0	1	0	6	3
AGK	64	7	76	11	51	25
AGL	250	17	63	12	99	50
AGMAT	25	33	22	10	24	10
AGO1	254	63	239	65	204	112
AGO2	189	37	372	66	252	141
AGO3	202	71	153	73	117	98
AGO4	164	32	117	41	143	92
AGPAT1	110	32	182	13	57	36
AGPAT2	75	9	127	3	24	15
AGPAT3	410	34	296	36	170	104
AGPAT4	35	7	93	5	31	20
AGPAT5	238	27	165	10	100	42
AGPS	120	11	340	18	107	62
AGRN	26	2	682	12	41	21
AGT	2	9	9	16	12	18
AGTPBP1	157	8	76	24	96	54
AGTR1	0	0	5	0	1	0
AGTRAP	27	2	95	5	12	5
AHCTF1	244	23	320	42	270	119
AHCTF1P1	1	0	1	0	1	0
AHCY	226	13	505	15	136	60
AHCYL1	288	29	560	39	158	83
AHCYL2	73	5	54	6	55	32
AHDC1	204	36	112	24	99	43
AHI1	127	25	100	23	101	61
AHI1-DT	0	1	1	2	4	5
AHNAK	1870	132	4116	229	3369	2153
AHNAK2	0	2	539	1	0	1
AHR	26	13	162	26	27	42
AHRR	0	0	120	16	21	9
AHSA1	231	27	415	27	146	52
AHSA2P	519	61	318	60	297	174
AHSP	10	1	0	0	0	0
AICDA	2	3	6	3	3	2
AIDA	227	25	526	28	212	174
AIDAP2	0	0	0	0	1	0
AIF1	4	1	95	38	14	8
AIF1L	3	7	13	13	8	2
AIFM1	119	11	134	14	68	29
AIFM2	66	10	77	4	39	19
AIFM3	4	2	8	3	6	0
AIG1	43	15	65	6	33	27
AIM2	228	20	71	23	139	86
AIMP1	466	72	313	57	236	97
AIMP2	58	2	96	6	43	18
AIP	341	62	193	21	120	62
AIPL1	2	0	0	1	0	0
AIRIM	65	5	50	6	34	10
AJAP1	17	25	19	31	23	15
AJM1	10	0	14	1	4	4
AJUBA	17	0	136	0	3	0
AJUBA-DT	0	0	1	1	0	1
AK1	75	7	101	18	27	18
AK2	323	56	517	51	306	136
AK3	112	16	104	27	146	98
AK3P3	1	0	0	0	0	1
AK4	3	17	220	23	29	17
AK4P1	0	0	7	0	1	0
AK4P3	2	3	9	1	4	4
AK4P4	0	0	1	0	0	2
AK5	1	4	49	6	7	1
AK6	104	21	127	13	50	26
AK7	2	30	28	24	29	21
AK8	0	0	6	1	3	1
AK9	50	24	18	11	29	19
AKAIN1	0	0	1	2	2	1
AKAP1	75	11	72	7	78	38
AKAP1-DT	5	1	2	0	5	5
AKAP10	146	25	101	26	42	43
AKAP11	545	36	281	53	438	257
AKAP12	3	8	527	6	10	7
AKAP13	1137	198	634	152	816	447
AKAP17A	673	72	315	43	115	81
AKAP3	11	1	3	0	4	3
AKAP5	167	20	10	9	13	13
AKAP6	4	10	9	27	17	12
AKAP7	32	1	25	1	13	12
AKAP8	284	68	273	45	168	110
AKAP8L	257	33	286	23	151	58
AKAP9	873	132	207	80	635	276
AKIP1	45	5	119	6	43	25
AKIRIN1	483	32	504	28	206	95
AKIRIN2	294	38	298	45	113	109
AKNA	479	62	289	73	362	173
AKR1A1	232	26	195	12	130	50
AKR1B1	197	30	321	40	105	63
AKR1C1	0	0	97	3	3	1
AKR1C2	0	0	29	5	0	0
AKR1C3	0	0	29	7	4	3
AKR1E2	0	0	2	0	0	0
AKR7A2	117	22	151	16	47	18
AKR7A3	3	0	1	0	3	1
AKR7L	1	0	0	1	0	0
AKT1	398	34	539	35	209	108
AKT1S1	58	11	123	14	34	22
AKT2	293	26	277	34	275	134
AKT3	210	60	327	73	191	122
AKTIP	84	7	63	2	29	29
ALAD	123	8	153	4	71	48
ALAS1	112	4	175	11	57	33
ALAS2	0	0	0	0	0	0
ALB	0	0	0	0	0	0
ALCAM	263	19	501	25	221	107
ALDH16A1	136	31	81	12	59	39
ALDH18A1	93	7	333	15	99	47
ALDH1A1	0	0	1	0	0	1
ALDH1A2	0	0	16	0	1	0
ALDH1A3	2	14	537	10	8	9
ALDH1A3-AS1	15	79	43	36	53	38
ALDH1B1	34	32	76	15	39	23
ALDH1L1-AS1	2	0	3	0	2	3
ALDH1L2	7	40	44	9	15	15
ALDH2	125	117	50	51	73	56
ALDH3A1	0	0	0	0	0	0
ALDH3A2	123	12	97	14	48	22
ALDH3B1	25	6	107	12	39	20
ALDH4A1	11	1	17	1	5	3
ALDH5A1	228	20	70	29	67	64
ALDH6A1	83	70	78	49	61	60
ALDH7A1	29	19	303	18	35	21
ALDH8A1	8	1	1	0	1	1
ALDH9A1	256	23	296	23	77	35
ALDOA	858	78	2912	127	558	250
ALDOC	120	13	84	17	62	25
ALG1	94	22	65	4	54	25
ALG10	23	0	32	7	22	19
ALG10B	37	22	56	31	72	61
ALG11	86	4	114	17	116	76
ALG12	71	9	53	6	21	14
ALG13	185	5	97	17	98	60
ALG14	31	110	65	51	54	50
ALG1L1P	4	2	0	0	0	0
ALG1L9P	2	23	4	18	10	16
ALG2	215	25	170	24	77	39
ALG3	51	7	86	8	30	14
ALG5	75	6	66	7	42	28
ALG6	43	5	47	6	18	24
ALG8	65	22	70	13	27	27
ALG9	61	17	64	13	49	23
ALG9-IT1	3	18	2	8	10	12
ALKBH1	32	3	34	2	16	18
ALKBH2	46	3	75	3	40	13
ALKBH3	38	4	71	3	25	11
ALKBH4	69	9	31	2	19	12
ALKBH5	475	74	451	66	118	69
ALKBH6	40	4	37	5	24	6
ALKBH7	143	25	99	12	51	26
ALKBH8	79	6	43	4	42	17
ALMS1	81	14	88	13	58	39
ALMS1-IT1	8	5	8	9	9	7
ALMS1P1	16	33	13	12	18	17
ALOX12	0	0	0	0	0	0
ALOX12B	3	1	1	0	0	0
ALOX12P2	2	0	1	0	0	2
ALOX15	0	0	0	0	0	0
ALOX15B	0	0	5	0	4	2
ALOX15P1	0	0	0	0	0	0
ALOX5	315	18	87	28	230	98
ALOX5AP	253	34	136	62	62	44
ALOXE3	0	0	1	0	0	0
ALPK1	133	9	83	9	75	54
ALPK2	0	0	3	3	1	1
ALPK3	8	32	6	11	234	10
ALPL	16	0	0	0	0	0
ALS2	108	16	269	27	51	47
ALS2CL	44	2	25	1	22	10
ALX1	0	0	9	0	0	0
ALX4	1	0	2	2	1	4
ALYREF	260	52	485	36	119	32
AMACR	32	5	30	2	10	12
AMBRA1	85	3	77	7	61	23
AMD1	485	47	280	41	289	166
AMD1P3	0	1	0	0	0	1
AMD1P4	1	8	3	6	4	7
AMDHD1	2	0	1	1	3	3
AMDHD2	472	65	106	27	81	76
AMER1	47	4	46	8	31	28
AMER2	3	47	13	21	22	17
AMER3	3	29	11	14	12	6
AMFR	997	89	461	59	373	276
AMH	7	1	7	0	2	0
AMIGO1	15	2	11	0	6	3
AMIGO2	85	7	47	11	41	34
AMIGO3	10	0	0	0	0	0
AMMECR1	59	17	49	19	46	32
AMMECR1L	118	13	172	11	78	46
AMN	20	5	2	0	9	2
AMN1	110	9	41	11	29	31
AMOT	19	0	53	0	23	9
AMOTL1	4	7	176	12	12	10
AMOTL2	0	0	283	0	0	2
AMPD2	76	6	146	14	61	17
AMPD3	142	8	188	20	112	57
AMPH	0	0	73	0	0	1
AMT	35	0	10	4	20	16
AMY2B	100	11	26	19	61	33
AMZ1	20	51	59	33	32	27
AMZ2	311	55	298	51	167	110
AMZ2P1	24	9	30	8	43	20
ANAPC1	150	6	212	19	146	62
ANAPC10	36	1	37	5	16	14
ANAPC11	127	27	164	15	28	18
ANAPC13	155	22	94	12	50	39
ANAPC15	69	56	130	22	36	33
ANAPC16	1017	157	399	65	310	230
ANAPC1P1	0	0	2	0	0	1
ANAPC1P2	78	10	66	17	44	26
ANAPC1P4	0	2	0	0	0	0
ANAPC2	76	10	83	6	65	30
ANAPC4	253	33	58	17	100	61
ANAPC5	302	46	437	27	265	124
ANAPC7	151	12	257	19	108	50
ANG	19	3	15	0	2	1
ANGEL1	100	14	61	6	74	41
ANGEL2	195	81	113	48	171	103
ANGPT1	1	1	3	3	2	3
ANGPT2	0	1	0	0	0	1
ANGPT4	0	3	3	2	3	3
ANGPTL2	0	0	318	0	0	1
ANGPTL4	0	0	1056	0	3	0
ANGPTL6	8	0	7	1	4	4
ANK1	7	3	10	3	18	4
ANK2	9	37	38	19	384	12
ANK3	5	1	17	4	19	18
ANKAR	5	1	2	1	9	7
ANKDD1A	34	6	15	8	10	7
ANKDD1B	2	6	5	10	5	6
ANKEF1	15	4	8	4	15	8
ANKFN1	1	2	1	2	7	6
ANKFY1	203	19	200	16	60	40
ANKH	164	24	141	46	89	81
ANKHD1	785	152	400	55	448	279
ANKHD1-DT	2	2	4	2	2	1
ANKHD1-EIF4EBP3	31	0	94	20	52	39
ANKIB1	247	21	197	17	173	121
ANKK1	3	1	1	0	2	1
ANKLE1	31	3	46	6	13	8
ANKLE2	379	40	552	33	242	114
ANKMY1	39	5	31	7	54	19
ANKMY2	112	10	113	7	56	42
ANKRA2	66	13	94	5	30	33
ANKRD1	5	36	26	20	53	40
ANKRD10	1062	108	402	72	480	344
ANKRD10-IT1	50	11	13	6	50	32
ANKRD11	1393	219	678	76	691	289
ANKRD11P2	0	0	2	0	0	0
ANKRD12	6023	576	428	238	638	564
ANKRD13A	774	53	535	87	483	274
ANKRD13B	8	21	28	7	16	10
ANKRD13C	110	9	101	13	80	49
ANKRD13C-DT	7	0	6	2	9	4
ANKRD13D	142	16	88	12	50	25
ANKRD16	28	3	19	1	10	9
ANKRD17	687	156	404	47	261	143
ANKRD17-DT	7	5	6	11	12	6
ANKRD18A	0	0	0	1	1	0
ANKRD18B	0	0	28	0	1	2
ANKRD19P	0	3	3	1	0	1
ANKRD20A1	0	0	0	0	3	0
ANKRD20A11P	0	0	0	0	2	0
ANKRD20A4P	14	0	0	0	0	3
ANKRD20A5P	39	7	85	5	4	0
ANKRD22	0	3	4	5	0	2
ANKRD23	8	1	7	2	4	4
ANKRD24	0	0	3	1	9	1
ANKRD26	148	26	56	16	79	61
ANKRD27	112	10	154	21	97	60
ANKRD28	171	26	280	33	122	81
ANKRD29	0	0	27	0	0	0
ANKRD30B	1	0	49	0	0	0
ANKRD30BL	0	0	0	0	0	0
ANKRD31	1	1	1	0	6	10
ANKRD33B	309	9	110	15	405	126
ANKRD34A	4	1	3	2	6	1
ANKRD34B	0	0	1	0	1	0
ANKRD34C	0	1	1	2	2	4
ANKRD35	0	1	2	0	0	0
ANKRD36	318	73	100	19	71	23
ANKRD36B	333	79	89	12	94	38
ANKRD36BP2	128	20	38	2	575	423
ANKRD36C	182	47	79	13	59	21
ANKRD37	19	1	40	3	2	2
ANKRD39	17	1	24	1	7	4
ANKRD40	233	20	253	25	151	88
ANKRD42	70	65	94	52	67	48
ANKRD42-DT	30	10	13	2	8	7
ANKRD44	594	58	128	74	304	199
ANKRD44-AS1	1	0	0	0	0	0
ANKRD44-IT1	14	4	0	4	3	0
ANKRD45	0	4	1	3	6	1
ANKRD46	39	8	15	4	29	11
ANKRD49	252	33	141	37	115	87
ANKRD49P1	2	0	0	0	2	0
ANKRD49P2	4	37	18	12	21	16
ANKRD50	2	3	127	5	4	5
ANKRD52	232	19	301	27	136	66
ANKRD53	4	0	0	0	1	0
ANKRD54	57	10	37	7	25	13
ANKRD55	0	0	1	0	0	1
ANKRD6	72	12	76	5	30	25
ANKRD60	10	40	19	17	23	20
ANKRD61	0	0	0	0	1	0
ANKRD62	0	6	0	7	0	0
ANKRD63	0	0	0	1	0	0
ANKRD65	0	0	0	0	0	0
ANKRD7	1	0	0	3	0	1
ANKRD9	15	7	103	1	5	7
ANKS1A	51	4	81	1	38	29
ANKS1B	1	2	2	4	0	2
ANKS3	38	3	37	0	15	10
ANKS4B	7	26	12	11	7	4
ANKS6	67	4	131	14	59	23
ANKUB1	2	5	4	3	2	2
ANKZF1	234	34	226	20	96	55
ANLN	3	0	1258	0	17	2
ANO10	32	3	122	4	19	14
ANO4	0	0	14	0	0	2
ANO5	0	5	4	12	6	10
ANO6	218	31	340	32	104	82
ANO7	1	0	3	1	1	0
ANO8	5	1	57	7	10	8
ANO9	93	9	26	10	35	15
ANOS1	0	0	5	0	0	0
ANP32A	728	130	820	97	402	223
ANP32B	2003	455	2091	115	623	318
ANP32E	856	108	717	94	284	144
ANPEP	21	3	2419	35	27	15
ANTKMT	36	2	15	2	8	6
ANTXR1	2	9	283	10	7	7
ANTXR2	162	66	850	28	71	54
ANXA1	11	2	1191	60	42	50
ANXA11	625	71	337	24	254	111
