gene_name	S1_control	S1_t	S2_control	S2_t	S3_control	S3_t
GABRA2	1	1	27	2	1	3
GABRA4	3	41	14	26	24	29
GABRA5	0	0	4	0	0	0
GABRB2	16	4	3	8	4	7
GABRB3	0	1	53	1	0	0
GABRE	0	0	9	0	0	0
GABRG1	1	6	2	3	1	0
GABRG2	1	3	5	11	6	6
GABRG3	9	47	22	26	13	13
GABRQ	1	0	9	1	0	2
GABRR2	98	5	11	3	3	1
GAD1	0	0	19	0	0	0
GADD45A	55	8	982	11	77	31
GADD45B	230	35	192	27	76	38
GADD45G	0	0	1	2	1	1
GADD45GIP1	187	61	336	20	81	38
GAGE1	1	2	2	2	3	0
GAK	544	36	254	36	229	99
GAL3ST1	0	0	0	0	2	1
GAL3ST3	0	6	0	2	0	1
GAL3ST4	7	54	38	23	14	14
GALC	45	7	92	17	30	23
GALE	30	5	171	2	16	7
GALK1	36	2	65	2	17	6
GALK2	58	15	81	16	34	17
GALM	55	6	52	14	22	14
GALNS	66	6	45	9	18	19
GALNT1	462	32	166	22	68	36
GALNT10	166	55	133	47	163	91
GALNT11	128	6	157	7	51	28
GALNT12	15	1	10	4	11	6
GALNT13	0	0	48	0	0	0
GALNT14	15	1	84	1	14	4
GALNT15	0	1	11	0	0	0
GALNT16	1	7	14	5	3	4
GALNT18	0	0	7	0	1	0
GALNT2	148	19	592	11	157	82
GALNT3	25	1	4	3	7	2
GALNT4	36	12	60	15	44	25
GALNT5	0	1	3	5	0	2
GALNT6	81	11	166	9	25	16
GALNT7	159	22	138	22	53	27
GALNT7-DT	18	8	6	5	4	8
GALNTL6	9	44	29	40	53	44
GALR1	1	7	4	4	0	3
GALR2	0	0	1	0	0	0
GALT	74	10	59	8	34	30
GAMT	28	2	25	2	14	10
GAN	83	67	74	43	88	58
GANAB	503	41	1441	45	310	163
GANC	75	7	73	4	72	41
GAP43	2	1	0	0	0	4
GAPDH	1586	141	13840	356	1363	501
GAPDH-DT	0	0	3	1	0	0
GAPDHP1	0	1	4	1	0	1
GAPDHP43	0	0	1	0	3	1
GAPDHP47	0	0	0	0	0	0
GAPDHP62	0	0	6	1	1	2
GAPLINC	0	0	3	3	0	0
GAPT	105	8	30	7	31	14
GAPVD1	227	44	287	58	162	112
GAR1	74	8	60	2	32	15
GAR1-DT	0	1	1	0	1	0
GAREM1	4	17	19	16	7	8
GAREM2	5	0	35	2	3	2
GARIN1A	30	78	25	40	48	48
GARIN2	0	2	1	4	3	1
GARIN4	1	0	0	0	0	0
GARNL3	6	0	4	1	8	9
GARRE1	119	17	114	22	80	45
GARS1	588	30	608	29	400	150
GARS1-DT	160	52	128	46	109	83
GART	142	22	467	41	233	93
GAS1	0	0	34	0	1	0
GAS1RR	5	30	9	13	10	8
GAS2	1	20	4	17	7	13
GAS2L1	2	0	67	0	1	1
GAS2L1P2	0	0	0	0	0	1
GAS2L2	0	0	0	0	0	0
GAS2L3	3	15	248	9	6	7
GAS5	642	159	1046	145	463	325
GAS5-AS1	3	0	2	1	2	0
GAS6	0	0	182	3	0	3
GAS6-AS1	8	3	104	24	68	22
GAS6-DT	0	1	9	3	2	4
GAS7	0	1	52	23	22	14
GAS8	13	2	34	0	10	2
GASAL1	10	2	11	1	1	0
GASK1A	0	3	3	2	1	1
GASK1B	1	2	9	7	2	2
GASK1B-AS1	0	0	0	1	2	0
GATA1	0	0	0	0	0	0
GATA2	1	1	40	2	4	1
GATA2-AS1	1	0	15	0	1	0
GATA3	9	2	31	7	9	13
GATA3-AS1	2	16	8	4	8	8
GATA4	3	13	3	1	45	1
GATA5	0	0	22	0	0	0
GATA6	4	12	20	8	78	4
GATA6-AS1	1	5	1	4	3	3
GATAD1	317	60	351	35	164	86
GATAD2A	232	49	360	52	232	115
GATAD2B	428	85	251	69	295	158
GATB	51	7	71	5	25	13
GATC	158	21	219	21	148	83
GATD1	190	88	194	48	148	91
GATD1-DT	72	38	34	14	10	17
GATD3	24	6	17	1	7	5
GATM	86	5	40	14	55	26
GAU1	1	8	1	3	1	1
GBA1	115	10	184	21	45	20
GBA1LP	24	1	15	4	19	8
GBA2	215	14	98	11	96	54
GBE1	60	4	346	7	24	10
GBF1	159	8	307	14	123	57
GBGT1	42	3	25	2	16	17
GBP1	42	1	76	17	27	40
GBP1P1	0	0	1	1	0	1
GBP2	144	4	196	52	289	278
GBP3	67	6	53	5	35	43
GBP4	199	51	82	41	149	148
GBP5	87	6	67	33	87	70
GBP6	8	64	21	31	25	24
GBX2	0	0	13	0	0	0
GBX2-AS1	2	25	18	12	10	22
GCA	239	38	76	19	47	30
GCAT	0	0	20	1	0	3
GCATP1	0	0	0	0	0	1
GCAWKR	3	12	20	0	10	0
GCC1	143	11	104	18	94	53
GCC2	683	89	262	44	252	193
GCC2-AS1	9	4	3	1	3	1
GCDH	74	20	37	7	42	15
GCFC2	98	45	84	28	91	39
GCH1	87	9	76	13	68	39
GCHFR	71	8	12	3	12	6
GCK	0	0	2	0	1	1
GCLC	156	15	83	17	101	71
GCLM	70	20	132	8	53	28
GCM1	6	21	9	23	4	13
GCN1	257	15	449	39	317	111
GCNA	35	17	26	18	27	30
GCNT1	6	16	47	14	40	21
GCNT1P1	0	0	0	0	0	0
GCNT2	110	14	24	7	41	21
GCNT2P1	1	1	0	0	0	0
GCNT3	8	53	34	26	28	20
GCNT4	0	12	22	11	12	8
GCOM1	0	0	17	0	0	0
GCSAM	1	0	4	3	7	2
GCSAML	0	0	0	0	1	1
GCSH	30	5	56	2	18	14
GDA	0	0	1	2	0	0
GDAP1	19	28	54	32	21	28
GDAP2	69	95	110	54	111	90
GDE1	127	31	249	24	92	54
GDF11	121	33	81	14	100	64
GDF15	0	0	20	2	1	1
GDF7	48	30	16	29	35	21
GDF9	1	2	2	2	5	2
GDI1	598	79	497	47	359	184
GDI2	1101	94	723	103	834	441
GDNF	0	3	900	0	0	0
GDNF-AS1	4	31	14	8	14	14
GDPD1	18	25	13	10	12	11
GDPD3	6	3	3	0	10	5
GDPD5	336	37	50	8	20	8
GDPGP1	61	128	54	92	77	52
GEM	0	0	168	0	1	3
GEMIN2	48	9	33	3	28	13
GEMIN4	97	7	94	5	32	9
GEMIN5	70	5	117	7	92	31
